"(Intercept)";"cat_admPública";"org_acadUniversidade";"regiao_cursoNordeste";"regiao_cursoSudeste";"regiao_cursoSul";"regiao_cursoCentro-oeste";"np_infra";"np_me";"np_dr";"np_rt";"idade_M";"renda_IES"
"(Intercept)";4,06;-0,27;0,05;-0,26;-0,34;-0,35;-0,34;-0,1;0;0,03;-0,06;-0,11;-0,13
"cat_admPública";-0,27;0,32;-0,11;0;0,03;0,03;0,01;0,02;0,01;0;-0,01;0,01;-0,01
"org_acadUniversidade";0,05;-0,11;0,18;-0,01;-0,01;-0,02;-0,01;0,01;0;0;0;0;-0,02
"regiao_cursoNordeste";-0,26;0;-0,01;0,36;0,25;0,25;0,25;0;-0,01;0;0;0;0,01
"regiao_cursoSudeste";-0,34;0,03;-0,01;0,25;0,32;0,28;0,27;0,01;-0,01;0;0,01;0;-0,02
"regiao_cursoSul";-0,35;0,03;-0,02;0,25;0,28;0,38;0,26;0;-0,01;0;0,01;0;-0,03
"regiao_cursoCentro-oeste";-0,34;0,01;-0,01;0,25;0,27;0,26;0,43;0;0;-0,01;0,01;0;0
"np_infra";-0,1;0,02;0,01;0;0,01;0;0;0,02;0;0;0;0;0
"np_me";0;0,01;0;-0,01;-0,01;-0,01;0;0;0,03;-0,02;-0,01;0;-0,01
"np_dr";0,03;0;0;0;0;0;-0,01;0;-0,02;0,03;0;0;0
"np_rt";-0,06;-0,01;0;0;0,01;0,01;0,01;0;-0,01;0;0,02;0;0,01
"idade_M";-0,11;0,01;0;0;0;0;0;0;0;0;0;0;0
"renda_IES";-0,13;-0,01;-0,02;0,01;-0,02;-0,03;0;0;-0,01;0;0,01;0;0,07
